transaction_id,transaction_time,route_id,boarding_stop_id,alighting_stop_id,journey_key,transaction_type
T043,2026-08-31T15:00:00,R1,S03,S04,J043,BOARDING
T044,2026-08-31T16:00:00,R2,S14,S15,J044,BOARDING
T045,2026-08-31T17:00:00,R1,S05,,J045,BOARDING
T046,2026-08-31T18:00:00,R2,S16,S17,J046,BOARDING
T047,2026-08-31T19:00:00,R1,S07,S08,J047,BOARDING
T048,2026-08-31T20:00:00,R2,S18,S19,J048,BOARDING
T049,2026-08-31T21:00:00,R1,S09,S10,J049,BOARDING
T050,2026-08-31T22:00:00,R2,S20,,J050,BOARDING
T051,2026-08-31T06:00:00,R1,S01,S02,J051,BOARDING
T052,2026-08-31T07:00:00,R2,S12,S13,J052,BOARDING
T053,2026-08-31T08:00:00,R1,S03,S04,J053,BOARDING
T054,2026-08-31T09:00:00,R2,S14,S15,J054,BOARDING
T055,2026-08-31T10:00:00,R1,S05,,J055,BOARDING
T056,2026-08-31T11:00:00,R2,S16,S17,J056,BOARDING
T057,2026-08-31T12:00:00,R1,S07,S08,J057,BOARDING
T058,2026-08-31T13:00:00,R2,S18,S19,J058,BOARDING
T059,2026-08-31T14:00:00,R1,S09,S10,J059,BOARDING
T060,2026-08-31T15:00:00,R2,S20,,J060,BOARDING
T061,2026-08-31T16:00:00,R1,S01,S02,J061,BOARDING
T062,2026-08-31T17:00:00,R2,S12,S13,J062,BOARDING
T063,2026-08-31T18:00:00,R1,S03,S04,J063,BOARDING
T064,2026-08-31T19:00:00,R2,S14,S15,J064,BOARDING
T065,2026-08-31T20:00:00,R1,S05,,J065,BOARDING
T066,2026-08-31T21:00:00,R2,S16,S17,J066,BOARDING
T067,2026-08-31T22:00:00,R1,S07,S08,J067,BOARDING
T068,2026-08-31T06:00:00,R2,S18,S19,J068,BOARDING
T069,2026-08-31T07:00:00,R1,S09,S10,J069,BOARDING
T070,2026-08-31T08:00:00,R2,S20,,J070,BOARDING
T071,2026-08-31T09:00:00,R1,S01,S02,J071,BOARDING
T072,2026-08-31T10:00:00,R2,S12,S13,J072,BOARDING
T073,2026-08-31T11:00:00,R1,S03,S04,J073,BOARDING
T074,2026-08-31T12:00:00,R2,S14,S15,J074,BOARDING
T075,2026-08-31T13:00:00,R1,S05,,J075,BOARDING
T076,2026-08-31T14:00:00,R2,S16,S17,J076,BOARDING
T077,2026-08-31T15:00:00,R1,S07,S08,J077,BOARDING
T078,2026-08-31T16:00:00,R2,S18,S19,J078,BOARDING
T079,2026-08-31T17:00:00,R1,S09,S10,J079,BOARDING
T080,2026-08-31T18:00:00,R2,S20,,J080,BOARDING
T081,2026-08-31T19:00:00,R1,S01,S02,J081,BOARDING
T082,2026-08-31T20:00:00,R2,S12,S13,J082,BOARDING
T083,2026-08-31T21:00:00,R1,S03,S04,J083,BOARDING
T084,2026-08-31T22:00:00,R2,S14,S15,J084,BOARDING
T085,2026-08-31T06:00:00,R1,S05,,J085,BOARDING
T086,2026-08-31T07:00:00,R2,S16,S17,J086,BOARDING
T087,2026-08-31T08:00:00,R1,S07,S08,J087,BOARDING
T088,2026-08-31T09:00:00,R2,S18,S19,J088,BOARDING
T089,2026-08-31T10:00:00,R1,S09,S10,J089,BOARDING
T090,2026-08-31T11:00:00,R2,S20,,J090,BOARDING
T091,2026-08-31T12:00:00,R1,S01,S02,J091,BOARDING
T092,2026-08-31T13:00:00,R2,S12,S13,J092,BOARDING
T093,2026-08-31T14:00:00,R1,S03,S04,J093,BOARDING
T094,2026-08-31T15:00:00,R2,S14,S15,J094,BOARDING
T095,2026-08-31T16:00:00,R1,S05,,J095,BOARDING
T096,2026-08-31T17:00:00,R2,S16,S17,J096,BOARDING
T097,2026-08-31T18:00:00,R1,S07,S08,J097,BOARDING
T098,2026-08-31T19:00:00,R2,S18,S19,J098,BOARDING
T099,2026-08-31T20:00:00,R1,S09,S10,J099,BOARDING
T100,2026-08-31T21:00:00,R2,S20,,J100,BOARDING
T101,2026-08-31T22:00:00,R1,S01,S02,J101,BOARDING
T102,2026-08-31T06:00:00,R2,S12,S13,J102,BOARDING
T103,2026-08-31T07:00:00,R1,S03,S04,J103,BOARDING
T104,2026-08-31T08:00:00,R2,S14,S15,J104,BOARDING
T105,2026-08-31T09:00:00,R1,S05,,J105,BOARDING
T106,2026-08-31T10:00:00,R2,S16,S17,J106,BOARDING
T107,2026-08-31T11:00:00,R1,S07,S08,J107,BOARDING
T108,2026-08-31T12:00:00,R2,S18,S19,J108,BOARDING
T109,2026-08-31T13:00:00,R1,S09,S10,J109,BOARDING
T110,2026-08-31T14:00:00,R2,S20,,J110,BOARDING
T111,2026-08-31T15:00:00,R1,S01,S02,J111,BOARDING
T112,2026-08-31T16:00:00,R2,S12,S13,J112,BOARDING
T113,2026-08-31T17:00:00,R1,S03,S04,J113,BOARDING
T114,2026-08-31T18:00:00,R2,S14,S15,J114,BOARDING
T115,2026-08-31T19:00:00,R1,S05,,J115,BOARDING
T116,2026-08-31T20:00:00,R2,S16,S17,J116,BOARDING
T117,2026-08-31T21:00:00,R1,S07,S08,J117,BOARDING
T118,2026-08-31T22:00:00,R2,S18,S19,J118,BOARDING
T119,2026-08-31T06:00:00,R1,S09,S10,J119,BOARDING
T120,2026-08-31T07:00:00,R2,S20,,J120,BOARDING
T121,2026-08-31T08:00:00,R1,S01,S02,J121,BOARDING
T122,2026-08-31T09:00:00,R2,S12,S13,J122,BOARDING
T123,2026-08-31T10:00:00,R1,S03,S04,J123,BOARDING
T124,2026-08-31T11:00:00,R2,S14,S15,J124,BOARDING
T125,2026-08-31T12:00:00,R1,S05,,J125,BOARDING
T126,2026-08-31T13:00:00,R2,S16,S17,J126,BOARDING
T127,2026-08-31T14:00:00,R1,S07,S08,J127,BOARDING
T128,2026-08-31T15:00:00,R2,S18,S19,J128,BOARDING
T129,2026-08-31T16:00:00,R1,S09,S10,J129,BOARDING
T130,2026-08-31T17:00:00,R2,S20,,J130,BOARDING
T131,2026-08-31T18:00:00,R1,S01,S02,J131,BOARDING
T132,2026-08-31T19:00:00,R2,S12,S13,J132,BOARDING
T133,2026-08-31T20:00:00,R1,S03,S04,J133,BOARDING
T134,2026-08-31T21:00:00,R2,S14,S15,J134,BOARDING
T135,2026-08-31T22:00:00,R1,S05,,J135,BOARDING
T136,2026-08-31T06:00:00,R2,S16,S17,J136,BOARDING
T137,2026-08-31T07:00:00,R1,S07,S08,J137,BOARDING
T138,2026-08-31T08:00:00,R2,S18,S19,J138,BOARDING
T139,2026-08-31T09:00:00,R1,S09,S10,J139,BOARDING
T140,2026-08-31T10:00:00,R2,S20,,J140,BOARDING
T141,2026-08-31T11:00:00,R1,S01,S02,J141,BOARDING
T142,2026-08-31T12:00:00,R2,S12,S13,J142,BOARDING
T143,2026-08-31T13:00:00,R1,S03,S04,J143,BOARDING
T144,2026-08-31T14:00:00,R2,S14,S15,J144,BOARDING
T145,2026-08-31T15:00:00,R1,S05,,J145,BOARDING
T146,2026-08-31T16:00:00,R2,S16,S17,J146,BOARDING
T147,2026-08-31T17:00:00,R1,S07,S08,J147,BOARDING
T148,2026-08-31T18:00:00,R2,S18,S19,J148,BOARDING
T149,2026-08-31T19:00:00,R1,S09,S10,J149,BOARDING
T150,2026-08-31T20:00:00,R2,S20,,J150,BOARDING
T151,2026-08-31T21:00:00,R1,S01,S02,J151,BOARDING
T152,2026-08-31T22:00:00,R2,S12,S13,J152,BOARDING
T153,2026-08-31T06:00:00,R1,S03,S04,J153,BOARDING
T154,2026-08-31T07:00:00,R2,S14,S15,J154,BOARDING
T155,2026-08-31T08:00:00,R1,S05,,J155,BOARDING
T156,2026-08-31T09:00:00,R2,S16,S17,J156,BOARDING
T157,2026-08-31T10:00:00,R1,S07,S08,J157,BOARDING
T158,2026-08-31T11:00:00,R2,S18,S19,J158,BOARDING
T159,2026-08-31T12:00:00,R1,S09,S10,J159,BOARDING
T160,2026-08-31T13:00:00,R2,S20,,J160,BOARDING
T161,2026-08-31T14:00:00,R1,S01,S02,J161,BOARDING
T162,2026-08-31T15:00:00,R2,S12,S13,J162,BOARDING
T163,2026-08-31T16:00:00,R1,S03,S04,J163,BOARDING
T164,2026-08-31T17:00:00,R2,S14,S15,J164,BOARDING
T165,2026-08-31T18:00:00,R1,S05,,J165,BOARDING
T166,2026-08-31T19:00:00,R2,S16,S17,J166,BOARDING
T167,2026-08-31T20:00:00,R1,S07,S08,J167,BOARDING
T168,2026-08-31T21:00:00,R2,S18,S19,J168,BOARDING
T169,2026-08-31T22:00:00,R1,S09,S10,J169,BOARDING
T170,2026-08-31T06:00:00,R2,S20,,J170,BOARDING
T171,2026-08-31T07:00:00,R1,S01,S02,J171,BOARDING
T172,2026-08-31T08:00:00,R2,S12,S13,J172,BOARDING
T173,2026-08-31T09:00:00,R1,S03,S04,J173,BOARDING
T174,2026-08-31T10:00:00,R2,S14,S15,J174,BOARDING
T175,2026-08-31T11:00:00,R1,S05,,J175,BOARDING
T176,2026-08-31T12:00:00,R2,S16,S17,J176,BOARDING
T177,2026-08-31T13:00:00,R1,S07,S08,J177,BOARDING
T178,2026-08-31T14:00:00,R2,S18,S19,J178,BOARDING
T179,2026-08-31T15:00:00,R1,S09,S10,J179,BOARDING
T180,2026-08-31T16:00:00,R2,S20,,J180,BOARDING
T181,2026-08-31T17:00:00,R1,S01,S02,J181,BOARDING
T182,2026-08-31T18:00:00,R2,S12,S13,J182,BOARDING
T183,2026-08-31T19:00:00,R1,S03,S04,J183,BOARDING
T184,2026-08-31T20:00:00,R2,S14,S15,J184,BOARDING
T185,2026-08-31T21:00:00,R1,S05,,J185,BOARDING
T186,2026-08-31T22:00:00,R2,S16,S17,J186,BOARDING
T187,2026-08-31T06:00:00,R1,S07,S08,J187,BOARDING
T188,2026-08-31T07:00:00,R2,S18,S19,J188,BOARDING
T189,2026-08-31T08:00:00,R1,S09,S10,J189,BOARDING
T190,2026-08-31T09:00:00,R2,S20,,J190,BOARDING
T191,2026-08-31T10:00:00,R1,S01,S02,J191,BOARDING
T192,2026-08-31T11:00:00,R2,S12,S13,J192,BOARDING
T193,2026-08-31T12:00:00,R1,S03,S04,J193,BOARDING
T194,2026-08-31T13:00:00,R2,S14,S15,J194,BOARDING
T195,2026-08-31T14:00:00,R1,S05,,J195,BOARDING
T196,2026-08-31T15:00:00,R2,S16,S17,J196,BOARDING
T197,2026-08-31T16:00:00,R1,S07,S08,J197,BOARDING
T198,2026-08-31T17:00:00,R2,S18,S19,J198,BOARDING
T199,2026-08-31T18:00:00,R1,S09,S10,J199,BOARDING
T200,2026-08-31T19:00:00,R2,S20,,J200,BOARDING

